,syndate,????????,?????????,????????,????????,???????,???????,?????,???????????,?????,???,????????,?????????????????,???????,???????????,?????????????,????????????,?????,???????,????????,????????,????????????,????????????,?????,???????,???????,?????,????????????????????,??????????,????????????????,????????????,????????,????????
1,8/31/2013,-0.001486242,0.25181282,-0.171450424,-0.003031612,-0.016449013,2.670018829,0.209979233,0.798145704,-0.023458795,0.925375892,0.423170958,-0.038702837,-0.217151246,-0.007088798,2.141877741,0.035988539,0.569730075,0.269912253,0.565589922,1.301363183,3.204433963,0.608680697,1.164154306,1.193826757,0.639641907,1.238489326,-0.437086606,2.993928481,2.424897682,,,
2,9/30/2013,0.001486152,-0.251797712,0.171440138,0.00303143,0.016448026,-2.669858638,-0.209966635,-0.798097818,0.023457388,-0.925320372,-0.423145569,0.038700515,0.217138218,0.007088373,-2.141749235,-0.035986379,-0.569695894,-0.269896059,-0.565555988,-1.301285105,-3.204241708,-0.608644178,-1.164084461,-1.193755131,-0.639603531,-1.238415021,0.437060382,-2.993748855,-2.424752194,,,
3,10/31/2013,1703.940126,-191.6648705,-374.0648033,-174.0150575,990.9560754,10477.80311,355.7894662,841.4634635,683.7748612,2000.956143,1633.472874,2280.571101,645.9167428,1174.304046,3408.217538,7770.626427,519.050692,-88.02123819,2210.686887,4233.122624,6238.370763,5919.988741,2832.348791,6979.432492,6856.325038,13471.19076,-2052.182237,6546.358021,-4537.501753,,,
4,11/30/2013,7818.911826,-1155.996396,53.32566382,-747.7708705,3513.610796,32791.9009,793.8547523,3874.633338,1672.15065,7302.961925,5282.775628,8136.772035,2242.422356,4378.484953,11512.83619,29354.98742,120.1421821,-1087.107075,8341.453812,14793.4016,21780.58919,12268.51032,10766.6714,22480.31981,24072.86381,45053.42961,-7792.967277,21565.31909,-16882.04478,,,
5,12/31/2013,32428.19468,-5011.633854,10583.30148,-1609.823043,9777.60844,96940.77483,7641.17731,8998.48462,5437.522356,26712.39959,22829.57687,22989.37084,6459.599921,12648.83134,35017.59643,114821.6668,-1442.928963,-5447.64328,38532.23376,44677.12673,78057.59797,26424.09403,20588.06332,70364.01353,79119.55043,103813.864,-18915.03896,66477.8352,366.0019045,,,
6,1/31/2014,87035.41746,-12831.30542,36365.87334,-3124.322468,17871.16878,200192.254,27376.1286,15513.81415,16032.47212,58959.9975,46994.40335,44647.52074,19371.87521,24388.63948,61902.91508,260917.5747,5680.573579,-19656.414,97266.90402,80941.20215,140173.0042,45647.26152,20884.75848,152321.6078,168146.395,135270.1325,-25931.70956,128980.439,131469.9457,,,
7,2/28/2014,143212.2204,-22960.58211,65513.92339,-5359.026961,21619.37741,268499.719,53142.07801,21761.79703,33050.8272,77820.87483,58935.81561,57402.17543,37353.45768,31255.24748,53897.36501,363162.0299,28807.07673,-42674.44796,146465.5942,89059.9821,115660.0129,61991.34816,7222.760973,204792.8634,234108.0786,89890.50608,-14619.33326,138867.315,351947.3092,,,
8,3/31/2014,169032.6205,-30003.28996,85228.89371,-7014.982731,20706.33109,239257.4725,72139.45363,23808.73464,49421.79161,58519.59774,43313.9896,53151.65242,57394.3589,29046.06514,-14711.16882,328095.9898,68895.70458,-64116.98283,148651.7267,59233.329,-34781.39257,61081.84344,-8907.899302,184906.4729,231420.7478,-12812.69304,20190.83659,52372.35049,555198.1928,,,
9,4/30/2014,148589.5015,-28261.67108,84974.16444,-6775.641334,18067.55806,74518.0643,77758.13136,17018.3309,60059.2811,-1626.28143,-1246.901134,33844.32629,70769.72152,21263.7113,-132852.5911,162123.9186,112299.1655,-70243.86458,93566.62847,9589.737447,-284197.935,38787.03564,-23249.0441,99119.83998,141692.9969,-95708.2265,68849.37534,-104422.8043,595061.5092,,,
10,5/31/2014,97482.48603,-16985.26127,67610.92969,-4238.984015,15128.85069,-214274.5808,72728.5025,1408.343514,61683.01997,-78154.41437,-56539.10229,4938.16885,64520.08116,14466.04936,-274187.9115,-12582.49112,139439.561,-57011.04376,8261.654222,-37577.46698,-531252.7687,6261.157656,-45837.15982,-23992.1495,-10571.53003,-100240.1104,123854.701,-249987.3524,433241.2207,,,
11,6/30/2014,43079.84653,495.9646168,40310.29246,413.4138148,10660.42982,-532579.6971,58278.43076,-18138.17631,55260.46079,-140241.3975,-92847.46627,-25983.22856,35322.74842,10858.35023,-412490.7771,-99387.87971,145798.5485,-30949.99758,-76938.23923,-77273.96293,-690037.3254,-39644.01426,-80672.09351,-148181.963,-178791.3413,8094.966437,175576.2106,-338903.7022,197701.0888,,,
12,7/31/2014,10231.93638,18790.4218,11904.95093,6732.747884,3499.209231,-783115.3981,32474.23472,-39123.502,43153.1917,-174145.1227,-105617.1685,-51338.77706,496.5228583,4941.630578,-517285.9215,-95928.07803,145207.8576,-1203.999773,-139159.4398,-112077.5132,-771223.0708,-102534.2309,-115700.1201,-256969.3474,-332222.0172,163510.4999,592452.0412,-386147.3092,23385.50693,,,
13,8/31/2014,-13439.72652,32153.57061,-17316.59162,14985.0614,-6709.902203,-940983.1578,977.7325237,-61229.40666,32021.15939,-199076.768,-104033.5774,-68036.4747,-26274.96351,-7223.712519,-578740.6733,-75077.27255,150393.1826,20891.21463,-168882.0912,-158103.0077,-842161.5651,-172264.9337,-140992.4401,-347572.501,-444419.4352,287033.4531,500199.3432,-427405.7591,-64219.64104,,,
14,9/30/2014,-59899.07022,35613.77754,-43379.27812,24071.07938,-19404.53478,-1037965.228,-31532.26722,-82266.73442,24623.67703,-230141.1927,-105222.3457,-74562.41318,-41200.68641,-24840.19149,-623524.2956,-123485.1347,161393.79,28050.09571,-174742.6136,-221058.5205,-922773.6758,-224627.3232,-145356.2173,-418612.1898,-495369.98,335487.6459,-54291.11926,-479621.5893,-86160.20678,,,
15,10/31/2014,-142439.9061,26774.67666,-63010.64761,33307.71444,-29458.53054,-1123008.828,-60299.60013,-100146.5413,19795.27387,-271770.8136,-112401.0221,-72999.94977,-42922.16466,-42223.13926,-683261.9462,-262243.6981,167992.4915,20746.48452,-173946.493,-279043.9873,-969848.6394,-253580.1209,-125932.9701,-450129.3029,-490348.8285,280111.1947,24405.58422,-537255.2066,-75233.01815,,,
